Surname,"Name","Email address",State,"Started on",Completed,"Time taken",Grade,"Q. 1 /0.24","Q. 2 /0.24","Q. 3 /0.24","Q. 4 /0.24","Q. 5 /0.24","Q. 6 /0.24","Q. 7 /0.24","Q. 8 /0.24","Q. 9 /0.24","Q. 10 /0.24","Q. 11 /0.24","Q. 12 /0.24","Q. 13 /0.24","Q. 14 /0.24","Q. 15 /0.24","Q. 16 /0.24","Q. 17 /0.24","Q. 18 /0.24","Q. 19 /0.24","Q. 20 /0.24","Q. 21 /0.24","Q. 22 /0.24","Q. 23 /0.24","Q. 24 /0.24","Q. 25 /0.24","Q. 26 /0.24","Q. 27 /0.24","Q. 28 /0.24","Q. 29 /0.24","Q. 30 /0.24","Q. 31 /0.24","Q. 32 /0.24","Q. 33 /0.24","Q. 34 /0.24","Q. 35 /0.24","Q. 36 /0.24","Q. 37 /0.24","Q. 38 /0.24","Q. 39 /0.24","Q. 40 /0.24","Q. 41 /0.24","Q. 42 /0.24"
Menon,Vedant,vm12510@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:42 AM","32 mins 20 secs",7.86,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Wapshaka,Ruth,rw12450@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:50 AM","40 mins 38 secs",8.81,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Sheikh,Umer,us7903@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:47 AM","36 mins 58 secs",9.52,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Khan,Behesht,bk7757@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:56 AM","45 mins 59 secs",7.62,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Benz-Breen,Leo,lb100024@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:44 AM","34 mins 17 secs",7.38,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"De Farias",Alice,ad100056@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:52 AM","42 mins 3 secs",6.43,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Fuad,Fouad,ff10617@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:47 AM","37 mins 6 secs",9.76,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Kamal,Ayaana,ak9002@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:36 AM","25 mins 38 secs",6.43,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Purinton,Lauren,lp12514@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:45 AM","34 mins 45 secs",8.57,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24
Khan,Ayaan,ak8553@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:46 AM","36 mins 25 secs",8.81,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
